,QQQ_策略,QQQ_等额定投,SPY_策略,SPY_等额定投
2025-05-02,83.0,100.0,67.0,100.0
2025-05-05,82.50759815176079,99.40674476115758,66.61579336203825,99.42655725677349
2025-05-06,81.74013686302939,98.48209260605952,66.05899250534483,98.59551120200722
2025-05-07,82.06104127700401,98.86872443012531,66.3368070420407,99.01015976423986
2025-05-08,82.90831525323632,99.88953644968232,66.79902096837075,99.70003129607576
2025-05-09,177.85397315104814,199.82407030270997,152.71391747677808,199.57301115937025
2025-05-12,185.09980092927873,207.96494127493526,157.76071466734288,206.16837933977743
2025-05-13,187.9208569336512,211.13449143206302,158.8025517530537,207.52989614039535
2025-05-14,189.04706464999114,212.39984329875026,159.0055078949626,207.79512781700532
2025-05-15,189.25484768529643,212.63326843595422,159.78214584531753,208.81007116266696
2025-05-16,250.07856777454367,313.55871658092957,220.79421092104712,310.1326806405052
2025-05-19,250.3183076554168,313.8593859225099,221.03572441367473,310.47191610581467
2025-05-20,249.4839470751568,312.81319361649906,220.29256198040702,309.42805287851724
2025-05-21,246.01692714023892,308.4661204007429,216.5804330263743,304.2139102676448
2025-05-22,246.47729996832823,309.0433362986592,216.66592473064156,304.33399390256585
2025-05-23,324.19473368401174,406.1813611799824,315.1870349200031,402.25671090029886
2025-05-27,331.8214731149579,415.73685077176015,321.7399290095702,410.6198265469062
2025-05-28,330.35087866704595,413.89435306117485,319.87857334490786,408.2442757642646
2025-05-29,331.0002690292934,414.70796979787343,321.1412352138129,409.8557450002815
2025-05-30,330.47819864138916,414.0539202419866,320.7820591463857,409.3973473902591
2025-06-02,406.0884335947165,517.3241680214209,417.5890307493412,511.70349064224797
2025-06-03,409.2627908374084,521.3681061650205,419.9703034298035,514.6214445467771
2025-06-04,410.40374335301965,522.8215885377309,419.8575683994468,514.4833017693012
2025-06-05,407.31467586460946,518.886363292961,417.8284679819572,511.9968912315773
2025-06-06,411.29633818949617,523.9586830644879,422.1191658399113,517.2546085314464
2025-06-09,493.9017338032215,624.7299692854332,510.49961945717126,617.720807185252
2025-06-10,497.1684115448759,628.86180337946,513.3940120075397,621.2231144042579
2025-06-11,495.4931731881469,626.7428161098853,511.9297559808816,619.4513179518435
2025-06-12,496.6564397314283,628.2142889791884,513.9643475391487,621.9132385718852
2025-06-13,490.42111215600323,620.3272318949898,508.2182249198243,614.9602470958704
2025-06-16,579.242747503537,728.9559741819938,601.053445908992,720.8110185724951
2025-06-17,573.5945047801139,721.8476993903718,595.917413550884,714.6516516465302
2025-06-18,573.4968865706795,721.7249340016455,595.8275845610706,714.543924578188
2025-06-20,571.1551120553802,718.7779796771694,594.4283276582287,712.8658711534102
2025-06-23,577.0280758813377,726.1688070755196,600.2997542822253,719.9071568063296
2025-06-24,667.8519651308535,837.2733501608809,688.9313809902136,827.8601094675499
2025-06-25,669.5592663076526,839.4137612859003,689.3174277656485,828.324005777966
2025-06-26,675.8199510025327,847.262568116487,694.7105130668141,834.804651472133
2025-06-27,678.1336230579801,850.163364730517,698.1620737203373,838.9522479662171
2025-06-30,682.5259132889497,855.6698008354088,701.5000994041576,842.963414222051
2025-07-01,758.7725816063919,948.4570528599578,768.2730991608661,942.6906374964644
2025-07-02,764.0577707396673,955.0632659352241,771.7559523592109,946.9641869744305
2025-07-03,771.576249552952,964.4613835422591,777.8384614273336,954.4275803397187
2025-07-07,765.7640777258305,957.1962360146895,772.0419015245506,947.3150538748334
2025-07-08,766.194134306555,957.7336956726139,771.6191243473849,946.7962955230226
2025-07-09,828.617922689154,1064.5134744802854,833.2462323365921,1052.4738747391568
2025-07-10,827.4262186620927,1062.9825095329156,835.5961557331628,1055.4420645569417
2025-07-11,825.5640614936879,1060.5903402117103,832.6588129587113,1051.7319049291027
